"","id","class","new_classes","representative","Number_of_CDS","Number_of_exons","intron_in_UTR","overlaps"
"7339","maker_00172307_RB",1,"1","NO",6,7,"yes","no"
"8613","mikado.Super_Scaffold_1000004G5116.1",5,"5F","YES",1,1,"no","no"
"8949","maker_00175380_RB",1,"1","NO",2,3,"yes","no"
"3828","maker_00174910_RA",3,"3","YES",10,11,"yes","no"
"5123","maker_00166982_RA",4,"4","YES",1,1,"no","no"
"4459","maker_00176256_RA",6,"6","YES",1,1,"no","no"
"2863","maker_00173217_RA",6,"6","YES",2,2,"no","no"
"3975","maker_00175133_RC",1,"1","NO",5,6,"yes","no"
"4438","maker_00176193_RA",4,"4","YES",3,3,"no","no"
"7919","mikado.Super_Scaffold_1000004G3806.1",1,"1","NO",4,4,"no","no"
"2467","mikado.Super_Scaffold_1000004G2933.1",3,"3","NO",10,15,"yes","no"
"4158","maker_00175604_RB",3,"3","YES",6,6,"no","no"
"185","maker_00166491_RA",6,"6","YES",2,2,"no","no"
"4429","maker_00176179_RG",2,"2C","NO",9,19,"yes","no"
"961","maker_00168443_RA",6,"6","YES",3,3,"no","no"
"6006","maker_00169295_RA",1,"1","NO",8,14,"yes","no"
"9358","maker_00175996_RC",3,"3","NO",10,10,"no","no"
"6258","maker_00169955_RA",6,"6","YES",4,4,"no","no"
"5004","maker_00166514_RA",4,"4","YES",4,4,"no","no"
"1154","maker_00168986_RA",4,"4","YES",1,1,"no","no"
"1251","maker_00169234_RA",6,"6","YES",6,6,"no","no"
"4110","maker_00175488_RA",5,"5C","YES",3,3,"no","no"
"6652","maker_00170779_RA",6,"6","YES",4,4,"no","no"
"3855","maker_00174947_RE",1,"1","NO",5,7,"yes","no"
"778","maker_00167982_RA",6,"6","YES",2,2,"no","no"
"1478","maker_00169761_RA",3,"3","YES",8,9,"yes","no"
"7191","mikado.Super_Scaffold_1000004G2768.1",5,"5F","YES",1,1,"no","no"
"6640","maker_00170770_RI",5,"5C","NO",4,5,"yes","no"
"7094","maker_00171872_RA",6,"6","YES",1,1,"no","no"
"6","maker_00165986_RA",6,"6","YES",1,1,"no","no"
"8134","maker_00173855_RA",6,"6","YES",2,2,"no","no"
"9894","mikado.Super_Scaffold_1000006G59.1",3,"3","NO",5,5,"no","no"
"4680","maker_00176657_RF",1,"1","NO",6,6,"no","no"
"4292","maker_00175896_RA",5,"5C","YES",2,2,"no","no"
"8863","maker_00175151_RH",3,"3","NO",2,3,"yes","no"
"5785","maker_00168727_RA",6,"6","YES",4,4,"no","no"
"5051","maker_00166673_RA",6,"6","YES",5,5,"no","no"
"9509","maker_00176266_RF",1,"1","NO",59,60,"yes","no"
"6268","maker_00169976_RA",6,"6","YES",4,4,"no","no"
"5384","maker_00167678_RB",1,"1","NO",4,4,"no","no"
"7084","maker_00171846_RA",4,"4","YES",3,3,"no","no"
"4573","maker_00176492_RI",3,"3","NO",11,15,"yes","no"
"2480","maker_00172323_RA",6,"6","YES",4,4,"no","no"
"5088","maker_00166870_RA",6,"6","YES",3,3,"no","no"
"7371","mikado.Super_Scaffold_1000004G2987.1",5,"5F","YES",1,1,"no","no"
"1767","maker_00170489_RF",1,"1","NO",2,4,"yes","no"
"4958","maker_00166406_RA",6,"6","YES",5,5,"no","no"
"6475","mikado.Super_Scaffold_1000004G1706.1",6,"6","YES",1,1,"no","no"
"4567","maker_00176492_RA",1,"1","YES",15,15,"no","no"
"4233","maker_00175753_RA",1,"1","YES",5,6,"yes","no"
"3064","maker_00173573_RA",6,"6","YES",3,3,"no","no"
"6551","maker_00170637_RA",6,"6","YES",2,2,"no","no"
"4263","maker_00175828_RA",5,"5C","YES",3,4,"yes","no"
"8765","maker_00174984_RA",6,"6","YES",5,5,"no","no"
"5727","maker_00168585_RA",6,"6","YES",3,3,"no","no"
"100","maker_00166222_RA",6,"6","YES",3,3,"no","no"
"9061","maker_00175492_RA",3,"3","YES",5,5,"no","no"
"6383","maker_00170225_RA",6,"6","YES",3,3,"no","no"
"5900","maker_00169048_RA",6,"6","YES",10,10,"no","no"
"7423","maker_00172466_RA",3,"3","YES",1,2,"yes","no"
"7625","maker_00172790_RA",6,"6","YES",2,2,"no","no"
"1880","maker_00170807_RA",6,"6","YES",1,1,"no","no"
"5998","mikado.Super_Scaffold_1000004G1110.1",5,"5F","YES",1,1,"no","no"
"6482","mikado.Super_Scaffold_1000004G1721.1",6,"6","YES",1,1,"no","no"
"9900","maker_00234958_RA",6,"6","YES",6,6,"no","no"
"3102","maker_00173628_RH",1,"1","NO",8,9,"yes","no"
"2602","maker_00172634_RC",3,"3","NO",5,6,"yes","no"
"5566","maker_00168260_RA",5,"5A","YES",5,5,"no","yes"
"3520","maker_00174379_RJ",3,"3","NO",18,18,"no","no"
"5452","maker_00167905_RA",4,"4","YES",3,3,"no","no"
"9099","maker_00175563_RA",5,"5C","YES",3,3,"no","no"
"3254","maker_00173877_RA",6,"6","YES",2,2,"no","no"
"6183","maker_00169748_RA",6,"6","YES",9,9,"no","no"
"847","maker_00168133_RA",6,"6","YES",4,4,"no","no"
"6543","maker_00170627_RC",5,"5C","NO",2,2,"no","no"
"7241","maker_00172138_RA",6,"6","YES",1,1,"no","no"
"3971","maker_00175128_RA",6,"6","YES",3,3,"no","no"
"8217","maker_00174000_RC",3,"3","NO",1,3,"yes","no"
"6994","maker_00171617_RA",6,"6","YES",4,4,"no","no"
"6480","maker_00170453_RA",6,"6","YES",6,6,"no","no"
"4765","maker_00176859_RA",6,"6","YES",3,3,"no","no"
"4640","maker_00176582_RJ",3,"3","NO",21,22,"yes","no"
"6550","maker_00170635_RA",6,"6","YES",1,1,"no","no"
"3600","maker_00174532_RC",3,"3","NO",13,13,"no","no"
"1898","maker_00170835_RA",6,"6","YES",1,1,"no","no"
"8995","maker_00175416_RD",3,"3","NO",2,5,"yes","no"
"9584","maker_00176430_RA",4,"4","YES",3,3,"no","no"
"5264","maker_00167323_RA",6,"6","YES",3,3,"no","no"
"5994","maker_00169257_RA",6,"6","YES",1,1,"no","no"
"6501","maker_00170529_RA",6,"6","YES",2,2,"no","no"
"6815","maker_00171158_RC",3,"3","NO",1,3,"yes","no"
"4075","maker_00175408_RE",1,"1","NO",3,4,"yes","no"
"8983","mikado.Super_Scaffold_1000004G5699.3",3,"3","NO",3,4,"yes","no"
"4221","maker_00175704_RD",1,"1","NO",4,4,"no","no"
"4100","maker_00175457_RA",5,"5C","YES",6,6,"no","no"
"2741","maker_00172947_RA",6,"6","YES",3,3,"no","no"
"7956","mikado.Super_Scaffold_1000004G3852.1",6,"6","YES",1,1,"no","no"
"7083","maker_00171845_RA",5,"5C","YES",4,4,"no","no"
"1740","maker_00170448_RA",1,"1","YES",5,5,"no","no"
"2156","maker_00171421_RA",4,"4","YES",2,2,"no","no"
"2676","maker_00172809_RB",3,"3","YES",9,9,"no","no"
"1361","maker_00169527_RA",6,"6","YES",3,3,"no","no"
"960","maker_00168441_RA",6,"6","YES",5,5,"no","no"
"5347","maker_00167578_RA",4,"4","YES",2,2,"no","no"
"652","maker_00167668_RA",4,"4","YES",2,2,"no","no"
"3609","maker_00174559_RC",3,"3","NO",1,4,"yes","no"
"5247","maker_00167279_RA",6,"6","YES",3,3,"no","no"
"2250","maker_00171660_RA",6,"6","YES",5,5,"no","no"
"5848","maker_00168887_RA",6,"6","YES",3,3,"no","no"
"8216","maker_00174000_RB",5,"5C","NO",2,2,"no","no"
"2071","maker_00171245_RA",6,"6","YES",2,2,"no","no"
"9402","maker_00176070_RA",5,"5F","YES",1,1,"no","no"
"7125","maker_00171911_RD",3,"3","NO",6,6,"no","no"
"1013","maker_00168615_RA",4,"4","YES",2,2,"no","no"
"6741","maker_00171009_RD",1,"1","NO",9,9,"no","no"
"347","maker_00166861_RA",6,"6","YES",7,7,"no","no"
"595","maker_00167524_RF",2,"2C","NO",5,6,"yes","no"
"2600","maker_00172634_RA",1,"1","NO",6,7,"yes","no"
"3007","maker_00173463_RA",1,"1","YES",5,5,"no","no"
"6633","maker_00170770_RA",1,"1","NO",8,8,"no","no"
"1587","maker_00170035_RA",6,"6","YES",3,3,"no","no"
"4490","maker_00176307_RA",1,"1","YES",9,9,"no","no"
"5613","maker_00168368_RA",6,"6","YES",3,3,"no","no"
"3505","maker_00174373_RA",5,"5C","YES",3,3,"no","no"
"6928","maker_00171477_RB",3,"3","NO",2,2,"no","no"
"7383","maker_00172417_RA",6,"6","YES",3,3,"no","no"
"4460","mikado.Super_Scaffold_1000004G6412.1",3,"3","YES",3,3,"no","no"
"6578","maker_00170691_RA",6,"6","YES",2,2,"no","no"
"7914","maker_00173486_RA",6,"6","YES",2,2,"no","no"
"5386","maker_00167680_RA",4,"4","YES",2,2,"no","no"
"1015","maker_00168618_RA",4,"4","YES",1,1,"no","no"
"9953","maker_00235128_RA",3,"3","YES",1,1,"no","no"
"1258","maker_00169253_RA",6,"6","YES",1,1,"no","no"
"1857","mikado.Super_Scaffold_1000004G1931.4",5,"5C","NO",4,4,"no","no"
"2664","maker_00172780_RG",3,"3","NO",2,3,"yes","no"
"1476","maker_00169745_RA",6,"6","YES",1,1,"no","no"
"7445","maker_00172483_RF",5,"5C","NO",3,5,"yes","no"
"1227","maker_00169175_RA",5,"5A","YES",3,3,"no","yes"
"6105","maker_00169482_RA",6,"6","YES",3,3,"no","no"
"1408","maker_00169614_RA",6,"6","YES",6,6,"no","no"
"9321","maker_00175931_RA",6,"6","YES",5,5,"no","no"
"2329","maker_00171922_RA",4,"4","YES",7,7,"no","no"
"8841","maker_00175125_RA",6,"6","YES",1,1,"no","no"
"7737","maker_00173063_RA",3,"3","YES",11,11,"no","no"
"1106","maker_00168868_RA",6,"6","YES",3,3,"no","no"
"2760","maker_00172983_RA",6,"6","YES",3,3,"no","no"
"4647","maker_00176598_RA",6,"6","YES",1,1,"no","no"
"6298","maker_00170015_RH",3,"3","NO",4,6,"yes","no"
"5020","maker_00166556_RA",6,"6","YES",4,4,"no","no"
"6518","maker_00170570_RA",6,"6","YES",5,5,"no","no"
"8227","maker_00174014_RA",6,"6","YES",2,2,"no","no"
"1688","maker_00170308_RA",6,"6","YES",1,1,"no","no"
"2267","maker_00171725_RA",6,"6","YES",2,2,"no","no"
"2959","maker_00173391_RE",3,"3","NO",18,18,"no","no"
"1092","maker_00168844_RA",6,"6","YES",2,2,"no","no"
"5930","maker_00169145_RA",4,"4","YES",3,3,"no","no"
"3602","maker_00174536_RB",1,"1","NO",11,12,"yes","no"
"8133","mikado.Super_Scaffold_1000004G4170.1",6,"6","YES",1,1,"no","no"
"6186","mikado.Super_Scaffold_1000004G1253.1",6,"6","YES",1,1,"no","no"
"9947","maker_00235100_RC",3,"3","NO",1,2,"yes","no"
"9246","maker_00175822_RA",6,"6","YES",2,2,"no","no"
"1228","maker_00169178_RA",6,"6","YES",2,2,"no","no"
"2748","maker_00172957_RA",5,"5A","YES",3,3,"no","yes"
"7624","maker_00172787_RI",1,"1","NO",13,14,"yes","no"
"8623","maker_00174690_RA",6,"6","YES",1,1,"no","no"
"9607","maker_00176467_RA",6,"6","YES",3,3,"no","no"
"9733","maker_00176669_RB",2,"2C","NO",2,3,"yes","no"
"8386","mikado.Super_Scaffold_1000004G4724.1",5,"5F","YES",1,1,"no","no"
"6066","maker_00169391_RA",6,"6","YES",2,2,"no","no"
"7546","maker_00172635_RA",6,"6","YES",4,4,"no","no"
"7437","maker_00172475_RC",1,"1","NO",10,11,"yes","no"
"1236","maker_00169193_RA",6,"6","YES",2,2,"no","no"
"742","maker_00167862_RA",6,"6","YES",3,3,"no","no"
"9519","maker_00176286_RD",3,"3","YES",6,6,"no","no"
"1386","maker_00169571_RA",6,"6","YES",4,4,"no","no"
"2137","maker_00171402_RA",6,"6","YES",2,2,"no","no"
"4244","maker_00175762_RA",3,"3","YES",2,2,"no","no"
"5084","maker_00166859_RA",6,"6","YES",1,1,"no","no"
"9046","maker_00175478_RB",1,"1","NO",8,9,"yes","no"
"651","maker_00167667_RA",6,"6","YES",3,3,"no","no"
"573","maker_00167457_RC",3,"3","NO",8,9,"yes","no"
"2966","maker_00173406_RC",3,"3","YES",2,2,"no","no"
"2374","maker_00172033_RA",6,"6","YES",3,3,"no","no"
"2441","maker_00172211_RA",1,"1","YES",1,2,"yes","no"
"6165","maker_00169685_RA",6,"6","YES",3,3,"no","no"
"8906","maker_00175252_RA",6,"6","YES",2,2,"no","no"
"9319","mikado.Super_Scaffold_1000004G6155.1",6,"6","YES",1,1,"no","no"
"9201","maker_00175729_RF",1,"1","NO",6,6,"no","no"
"6303","mikado.Super_Scaffold_1000004G1397.1",5,"5F","YES",1,1,"no","no"
"473","maker_00167176_RA",4,"4","YES",4,4,"no","no"
"8809","mikado.Super_Scaffold_1000004G5505.1",5,"5F","YES",1,1,"no","no"
"3746","maker_00174776_RC",1,"1","YES",9,11,"yes","no"
"9368","maker_00176019_RC",3,"3","NO",6,6,"no","no"
"911","maker_00168262_RC",1,"1","NO",4,5,"yes","no"
"7103","maker_00171904_RA",1,"1","YES",12,13,"yes","no"
"4851","maker_00166127_RA",6,"6","YES",2,2,"no","no"
"7397","maker_00172452_RD",3,"3","NO",15,15,"no","no"
"259","maker_00166651_RA",6,"6","YES",2,2,"no","no"
"2903","maker_00173272_RA",6,"6","YES",2,2,"no","no"
"5005","maker_00166516_RA",6,"6","YES",6,6,"no","no"
"8334","maker_00174279_RA",6,"6","YES",5,5,"no","no"
"6131","maker_00169560_RA",4,"4","YES",2,2,"no","no"
"3107","maker_00173630_RF",3,"3","NO",7,11,"yes","no"
"5745","maker_00168625_RA",4,"4","YES",1,1,"no","no"
"7513","maker_00172586_RB",2,"2C","NO",6,6,"no","no"
"3998","maker_00175180_RA",6,"6","YES",3,3,"no","no"
"6793","maker_00171107_RD",3,"3","NO",7,9,"yes","no"
"1854","maker_00170731_RH",1,"1","NO",12,12,"no","no"
"2667","maker_00172785_RA",5,"5A","YES",3,3,"no","yes"
"2402","maker_00172100_RA",6,"6","YES",3,3,"no","no"
"7832","maker_00173287_RA",3,"3","YES",4,4,"no","no"
"1042","maker_00168710_RA",6,"6","YES",2,2,"no","no"
"1065","maker_00168755_RA",6,"6","YES",1,1,"no","no"
"3757","maker_00174797_RD",1,"1","NO",20,20,"no","no"
"2497","maker_00172348_RD",3,"3","NO",8,8,"no","no"
"2811","maker_00173076_RA",5,"5D","NO",1,1,"no","no"
"3175","maker_00173709_RB",1,"1","NO",7,7,"no","no"
"9250","maker_00175833_RA",6,"6","YES",3,3,"no","no"
"2038","maker_00171161_RA",4,"4","YES",1,1,"no","no"
"2642","maker_00172748_RB",3,"3","YES",4,4,"no","no"
"2604","maker_00172634_RE",1,"1","YES",7,7,"no","no"
"7302","maker_00172248_RG",1,"1","NO",20,20,"no","no"
"4911","maker_00166288_RA",6,"6","YES",3,3,"no","no"
"6004","maker_00169285_RA",6,"6","YES",2,2,"no","no"
"9460","maker_00176187_RH",1,"1","NO",13,13,"no","no"
"7096","maker_00171877_RA",6,"6","YES",1,1,"no","no"
"1137","maker_00168933_RE",3,"3","YES",6,6,"no","no"
"3013","maker_00173467_RG",3,"3","NO",15,19,"yes","no"
"4825","maker_00166056_RA",4,"4","YES",2,2,"no","no"
"2471","maker_00172297_RJ",1,"1","NO",5,5,"no","no"
"610","maker_00167558_RA",6,"6","YES",1,1,"no","no"
"1133","maker_00168933_RA",3,"3","NO",5,6,"yes","no"
"5636","maker_00168407_RA",6,"6","YES",2,2,"no","no"
"2350","maker_00171993_RA",1,"1","YES",5,6,"yes","no"
"1271","maker_00169284_RA",5,"5C","YES",4,4,"no","no"
"2002","maker_00171069_RA",5,"5C","YES",4,4,"no","no"
"1847","maker_00170726_RA",6,"6","YES",4,4,"no","no"
"4618","maker_00176554_RA",6,"6","YES",2,2,"no","no"
"4509","maker_00176353_RA",5,"5C","YES",3,3,"no","no"
"8236","maker_00174028_RA",5,"5F","YES",1,1,"no","no"
"7233","maker_00172129_RC",3,"3","NO",1,2,"yes","no"
"3620","maker_00174574_RA",3,"3","YES",2,2,"no","no"
"1064","maker_00168743_RA",6,"6","YES",4,4,"no","no"
"6192","maker_00169773_RA",6,"6","YES",4,4,"no","no"
"5406","maker_00167746_RA",6,"6","YES",3,3,"no","no"
"5951","mikado.Super_Scaffold_1000004G1068.1",6,"6","YES",1,1,"no","no"
"1944","maker_00170948_RA",5,"5C","YES",5,5,"no","no"
"9579","maker_00176395_RA",6,"6","YES",1,1,"no","no"
"8273","maker_00174110_RA",4,"4","NO",1,2,"yes","no"
"6150","maker_00169634_RA",6,"6","YES",2,2,"no","no"
"7851","maker_00173338_RD",1,"1","NO",7,8,"yes","no"
"2285","maker_00171808_RA",6,"6","YES",3,3,"no","no"
"9786","maker_00176775_RA",3,"3","NO",7,7,"no","no"
"4367","maker_00176067_RB",3,"3","NO",6,8,"yes","no"
"2262","maker_00171714_RA",6,"6","YES",3,3,"no","no"
"7158","maker_00172009_RA",3,"3","YES",15,16,"yes","no"
"7784","mikado.Super_Scaffold_1000004G3490.1",6,"6","YES",1,1,"no","no"
"865","maker_00168170_RA",6,"6","YES",4,4,"no","no"
"3106","maker_00173630_RE",3,"3","NO",12,12,"no","no"
"1521","maker_00169874_RA",6,"6","YES",4,4,"no","no"
"1515","maker_00169852_RA",6,"6","YES",1,1,"no","no"
"9776","maker_00176746_RH",3,"3","NO",9,10,"yes","no"
"1609","maker_00170098_RF",1,"1","NO",7,10,"yes","no"
"6473","maker_00170433_RA",6,"6","YES",4,4,"no","no"
"8826","maker_00175111_RA",6,"6","YES",2,2,"no","no"
"9121","maker_00175601_RA",6,"6","YES",4,4,"no","no"
"25","maker_00166029_RA",6,"6","YES",5,5,"no","no"
"2090","maker_00171279_RA",6,"6","YES",2,2,"no","no"
"8836","maker_00175118_RA",6,"6","YES",1,1,"no","no"
"4326","maker_00175979_RA",6,"6","YES",2,2,"no","no"
"4162","maker_00175604_RF",3,"3","NO",4,4,"no","no"
"3357","maker_00174042_RA",6,"6","YES",4,4,"no","no"
"9383","maker_00176032_RI",1,"1","NO",14,15,"yes","no"
"9799","maker_00176814_RA",1,"1","NO",7,7,"no","no"
"3249","maker_00173861_RA",5,"5C","YES",3,3,"no","no"
"9370","maker_00176019_RE",3,"3","NO",4,5,"yes","no"
"678","maker_00167738_RA",6,"6","YES",4,4,"no","no"
"3775","maker_00174826_RA",6,"6","YES",2,2,"no","no"
"9117","maker_00175595_RI",3,"3","NO",4,5,"yes","no"
"1972","maker_00170990_RC",3,"3","YES",4,5,"yes","no"
"8212","maker_00173994_RF",5,"5C","NO",1,2,"yes","no"
"5717","maker_00168573_RA",6,"6","YES",5,5,"no","no"
"3009","maker_00173467_RB",1,"1","YES",18,19,"yes","no"
"2799","maker_00173051_RA",6,"6","YES",3,3,"no","no"
"7745","maker_00173072_RA",6,"6","YES",3,3,"no","no"
"3045","maker_00173504_RA",5,"5A","NO",2,2,"no","yes"
"3134","maker_00173668_RA",5,"5A","YES",3,3,"no","yes"
"5886","maker_00168992_RA",6,"6","YES",1,1,"no","no"
"7249","maker_00172142_RH",3,"3","NO",5,6,"yes","no"
"6856","maker_00171259_RA",5,"5F","YES",1,1,"no","no"
"5085","maker_00166863_RA",6,"6","YES",2,2,"no","no"
"5451","maker_00167902_RA",6,"6","YES",4,4,"no","no"
"3918","maker_00175053_RB",4,"4","NO",15,15,"no","no"
"3242","maker_00173843_RG",1,"1","NO",3,4,"yes","no"
"3899","maker_00175026_RH",1,"1","NO",7,7,"no","no"
"4796","maker_00165971_RA",6,"6","YES",8,8,"no","no"
"1246","maker_00169223_RA",6,"6","YES",6,6,"no","no"
"5553","maker_00168220_RA",6,"6","YES",4,4,"no","no"
"9302","maker_00175890_RB",3,"3","NO",2,6,"yes","no"
"8091","maker_00173785_RA",6,"6","YES",1,1,"no","no"
"63","maker_00166128_RA",6,"6","YES",1,1,"no","no"
"2182","maker_00171503_RA",1,"1","YES",2,2,"no","no"
"1193","maker_00169086_RA",6,"6","YES",1,1,"no","no"
"7046","maker_00171711_RA",6,"6","YES",2,2,"no","no"
"2813","maker_00173081_RA",4,"4","YES",4,4,"no","no"
"6642","maker_00170774_RA",3,"3","NO",3,5,"yes","no"
"7922","maker_00173501_RA",6,"6","YES",1,1,"no","no"
"3293","maker_00173923_RA",4,"4","YES",3,3,"no","no"
"1676","maker_00170280_RG",1,"1","NO",11,12,"yes","no"
"3393","maker_00174160_RH",3,"3","NO",5,5,"no","no"
"6432","maker_00170322_RD",3,"3","NO",6,6,"no","no"
"8733","maker_00174908_RG",5,"5C","NO",4,7,"yes","no"
"2826","maker_00173114_RB",3,"3","NO",3,4,"yes","no"
"3653","maker_00174645_RF",3,"3","NO",7,7,"no","no"
"3599","maker_00174532_RB",3,"3","YES",13,13,"no","no"
"566","maker_00167442_RA",4,"4","YES",1,1,"no","no"
"6209","maker_00169818_RA",6,"6","YES",2,2,"no","no"
"6399","maker_00170256_RA",6,"6","YES",1,1,"no","no"
"1239","maker_00169204_RA",6,"6","YES",3,3,"no","no"
"6357","maker_00170176_RA",6,"6","YES",3,3,"no","no"
"903","maker_00168248_RA",6,"6","YES",4,4,"no","no"
"694","maker_00167770_RA",6,"6","YES",3,3,"no","no"
"1490","maker_00169767_RA",6,"6","YES",3,3,"no","no"
"9461","maker_00176187_RI",1,"1","NO",15,16,"yes","no"
"6799","maker_00171117_RA",4,"4","YES",1,1,"no","no"
"777","maker_00167978_RA",6,"6","YES",2,2,"no","no"
"3370","maker_00174088_RH",1,"1","YES",2,4,"yes","no"
"3126","maker_00173650_RA",3,"3","YES",11,12,"yes","no"
"3364","maker_00174069_RA",5,"5C","YES",2,2,"no","no"
"1166","maker_00169016_RA",6,"6","YES",2,2,"no","no"
"2696","mikado.Super_Scaffold_1000004G3262.1",5,"5C","YES",2,2,"no","no"
"9241","maker_00175816_RF",1,"1","YES",5,6,"yes","no"
"9550","maker_00176340_RA",1,"1","YES",5,10,"yes","no"
"7078","mikado.Super_Scaffold_1000004G2609.1",5,"5F","YES",1,1,"no","no"
"1028","maker_00168679_RA",6,"6","YES",1,1,"no","no"
"3678","maker_00174684_RF",3,"3","NO",15,16,"yes","no"
"3219","maker_00173800_RC",3,"3","YES",24,25,"yes","no"
"9499","maker_00176247_RA",5,"5C","YES",4,6,"yes","no"
"6419","maker_00170302_RE",3,"3","NO",15,18,"yes","no"
"758","maker_00167901_RA",6,"6","YES",9,9,"no","no"
"6326","maker_00170081_RA",6,"6","YES",4,4,"no","no"
"3576","maker_00174496_RC",3,"3","NO",6,7,"yes","no"
"9834","maker_00176924_RA",6,"6","YES",1,1,"no","no"
"9233","maker_00175799_RA",6,"6","YES",3,3,"no","no"
"5231","maker_00167235_RA",6,"6","YES",4,4,"no","no"
"3615","maker_00174559_RI",3,"3","NO",1,3,"yes","no"
"487","maker_00167238_RA",6,"6","YES",10,10,"no","no"
"451","maker_00167106_RA",6,"6","YES",1,1,"no","no"
"7604","maker_00172771_RH",3,"3","NO",7,7,"no","no"
"8849","maker_00175139_RA",5,"5C","YES",2,2,"no","no"
"1252","maker_00169238_RA",6,"6","YES",7,7,"no","no"
"1034","maker_00168690_RA",3,"3","YES",1,1,"no","no"
"644","maker_00167652_RA",6,"6","YES",3,3,"no","no"
"2695","maker_00172844_RA",6,"6","YES",2,2,"no","no"
"4447","maker_00176222_RA",5,"5C","YES",2,2,"no","no"
"1085","maker_00168817_RA",4,"4","YES",2,2,"no","no"
"1892","maker_00170821_RA",6,"6","YES",1,1,"no","no"
"3851","maker_00174947_RA",1,"1","NO",4,7,"yes","no"
"8286","mikado.Super_Scaffold_1000004G4426.1",6,"6","YES",1,1,"no","no"
"3889","mikado.Super_Scaffold_1000004G5452.1",3,"3","NO",8,14,"yes","no"
"5387","maker_00167685_RA",6,"6","YES",6,6,"no","no"
"3406","maker_00174224_RA",4,"4","NO",1,2,"yes","no"
"8466","maker_00174418_RA",6,"6","YES",1,1,"no","no"
"7140","maker_00171954_RA",6,"6","YES",8,8,"no","no"
"405","maker_00166977_RA",6,"6","YES",1,1,"no","no"
"3139","maker_00173684_RA",3,"3","YES",1,1,"no","no"
"266","maker_00166670_RA",6,"6","YES",7,7,"no","no"
"9148","maker_00175646_RA",5,"5C","YES",4,4,"no","no"
"7545","maker_00172632_RJ",3,"3","NO",8,8,"no","no"
"7901","maker_00173444_RA",6,"6","YES",2,2,"no","no"
"1513","maker_00169842_RA",6,"6","YES",1,1,"no","no"
"3036","mikado.Super_Scaffold_1000004G3805.2",3,"3","NO",6,7,"yes","no"
"7965","maker_00173572_RB",1,"1","NO",13,14,"yes","no"
"805","maker_00168037_RA",6,"6","YES",1,1,"no","no"
"4513","maker_00176368_RA",6,"6","YES",3,3,"no","no"
"4824","maker_00166052_RA",6,"6","YES",2,2,"no","no"
"5269","maker_00167330_RA",6,"6","YES",3,3,"no","no"
"503","maker_00167300_RA",6,"6","YES",7,7,"no","no"
"826","maker_00168087_RA",6,"6","YES",1,1,"no","no"
"9921","maker_00235028_RA",4,"4","YES",1,1,"no","no"
"8004","mikado.Super_Scaffold_1000004G3921.2",3,"3","NO",3,5,"yes","no"
"9202","maker_00175729_RG",1,"1","NO",5,5,"no","no"
"4179","maker_00175658_RA",3,"3","YES",2,2,"no","no"
"3472","maker_00174321_RF",5,"5C","NO",4,6,"yes","no"
"9690","maker_00176611_RF",1,"1","YES",8,9,"yes","no"
"2701","maker_00172857_RA",5,"5C","YES",3,3,"no","no"
"1480","maker_00169761_RC",3,"3","NO",8,9,"yes","no"
"9517","maker_00176285_RA",6,"6","YES",2,2,"no","no"
"1406","maker_00169610_RA",6,"6","YES",2,2,"no","no"
"5292","maker_00167387_RA",6,"6","YES",5,5,"no","no"
"3929","maker_00175060_RI",1,"1","NO",14,14,"no","no"
"4033","maker_00175317_RA",6,"6","YES",2,2,"no","no"
"8605","maker_00174661_RE",3,"3","NO",7,8,"yes","no"
"4781","maker_00176912_RB",3,"3","NO",11,13,"yes","no"
"3223","maker_00173800_RG",3,"3","NO",24,25,"yes","no"
"6905","maker_00171404_RA",3,"3","NO",1,3,"yes","no"
"7931","maker_00173521_RF",3,"3","NO",4,4,"no","no"
"1567","maker_00169985_RA",1,"1","YES",7,8,"yes","no"
"2917","maker_00173301_RG",3,"3","NO",1,2,"yes","no"
"3565","maker_00174462_RA",5,"5F","YES",1,1,"no","no"
"9409","maker_00176085_RA",6,"6","YES",4,4,"no","no"
"7727","maker_00173042_RA",6,"6","YES",1,1,"no","no"
"7135","maker_00171941_RA",6,"6","YES",1,1,"no","no"
"4112","maker_00175493_RA",5,"5C","YES",4,4,"no","no"
"4808","maker_00166002_RA",4,"4","YES",3,3,"no","no"
"8522","mikado.Super_Scaffold_1000004G4906.1",5,"5F","YES",1,1,"no","no"
"4171","maker_00175638_RA",5,"5C","YES",3,3,"no","no"
"2762","maker_00172987_RA",6,"6","YES",4,4,"no","no"
"9835","mikado.Super_Scaffold_1000006G3.1",5,"5C","YES",2,268,"yes","no"
"9507","maker_00176266_RD",1,"1","NO",61,61,"no","no"
"3694","maker_00174700_RD",1,"1","NO",2,6,"yes","no"
"9360","maker_00175998_RA",6,"6","YES",3,3,"no","no"
"6282","maker_00169998_RH",5,"5C","NO",5,5,"no","no"
"6778","maker_00171080_RA",6,"6","YES",1,1,"no","no"
"6862","maker_00171285_RA",6,"6","YES",4,4,"no","no"
"7961","maker_00173563_RA",4,"4","YES",1,1,"no","no"
"717","maker_00167814_RA",6,"6","YES",3,3,"no","no"
"9613","maker_00176473_RB",5,"5C","NO",3,4,"yes","no"
"3720","maker_00174731_RA",5,"5A","YES",2,2,"no","yes"
"101","maker_00166223_RA",6,"6","YES",2,2,"no","no"
"1746","maker_00170457_RA",6,"6","YES",6,6,"no","no"
